       ORIGIN_PORT  DESTINATION_PORT
ACY         3572.0            3571.0
ADK           96.0              96.0
ADQ          460.0             460.0
AEX         3146.0            3146.0
AGS         2361.0            2363.0
AKN           63.0              63.0
ALB         7459.0            7460.0
ALO          617.0             618.0
AMA         4214.0            4215.0
ANC        16005.0           16001.0
APN          573.0             573.0
ASE         3562.0            3561.0
ATL       346836.0          346904.0
ATW         2848.0            2849.0
AUS        42067.0           42078.0
AVL         2745.0            2747.0
AVP         1359.0            1359.0
AZO         1845.0            1846.0
BDL        18799.0           18797.0
BET          896.0             896.0
BFL         2637.0            2636.0
BGM          262.0             264.0
BGR          366.0             368.0
BHM        12514.0           12514.0
BIL         2866.0            2870.0
BIS         3453.0            3455.0
BJI          667.0             667.0
BLI          711.0             711.0
BMI         2730.0            2731.0
BNA        47580.0           47568.0
BOI        11655.0           11656.0
BOS       107847.0          107851.0
BPT          973.0             973.0
BQK          878.0             879.0
BQN         1343.0            1343.0
BRD          589.0             590.0
BRO         2362.0            2364.0
BRW          855.0             855.0
BTM          667.0             668.0
BTR         7166.0            7168.0
BTV         2978.0            2976.0
BUF        16824.0           16829.0
BUR        18889.0           18890.0
BWI        86079.0           86085.0
BZN         3604.0            3605.0
CAE         5151.0            5148.0
CAK         6100.0            6098.0
CDC          573.0             573.0
CDV          662.0             662.0
CEC          190.0             190.0
CHA         4202.0            4204.0
CHO         2204.0            2204.0
CHS        11817.0           11819.0
CID         6832.0            6833.0
CIU          613.0             614.0
CLD          641.0             640.0
CLE        34589.0           34580.0
CLL         2311.0            2309.0
CLT       100324.0          100322.0
CMH        24187.0           24183.0
CMI         2116.0            2115.0
CMX          668.0             667.0
CNY          206.0             206.0
COD          665.0             665.0
COS         6881.0            6882.0
COU         1308.0            1308.0
CPR         1774.0            1772.0
CRP         4888.0            4881.0
CRW         2385.0            2386.0
CSG         1068.0            1067.0
CVG        20031.0           20027.0
CWA         1420.0            1420.0
DAB         1494.0            1494.0
DAL        59699.0           59703.0
DAY         8676.0            8672.0
DBQ          928.0             928.0
DCA        73794.0           73799.0
DEN       196055.0          196010.0
DFW       239551.0          239582.0
DHN         1260.0            1260.0
DIK          938.0             937.0
DLG           77.0              77.0
DLH         1719.0            1721.0
DRO         2068.0            2068.0
DSM         8385.0            8388.0
DTW       108500.0          108398.0
DVL          525.0             526.0
EAU          668.0             668.0
ECP         4169.0            4173.0
EGE         1241.0            1243.0
EKO          531.0             531.0
ELM         2051.0            2052.0
ELP        11972.0           11976.0
ERI          746.0             746.0
ESC          573.0             573.0
EUG         3632.0            3631.0
EVV         3834.0            3833.0
EWN          575.0             575.0
EWR       101772.0          101830.0
EYW         1973.0            1973.0
FAI         2183.0            2183.0
FAR         5693.0            5693.0
FAT         7018.0            7017.0
FAY         1633.0            1634.0
FCA         2025.0            2024.0
FLG         1660.0            1660.0
FLL        73624.0           73599.0
FNT         4746.0            4746.0
FSD         5331.0            5329.0
FSM         1971.0            1970.0
